feature,mean_abs_shap,outcome
Disease Status,0.23389672504568215,OS
Age at HCT,0.1598722310987021,OS
Donor Age,0.10485350248392857,OS
Ph+/BCR-ABL1,0.07163723156846225,OS
HCT-CI,0.06493890313288955,OS
Time Dx to HCT,0.052479576744730055,OS
Year of HCT,0.05000069323400588,OS
Conditioning Regimen,0.042798614675079207,OS
In Vivo T-cell Depletion (Yes),0.04246042860218319,OS
Donor/Recipient Sex Match,0.0381275373476003,OS
Race/Ethnicity,0.03168451212797314,OS
Donor/Recipient CMV,0.02981749005528028,OS
Cytogenetic Score,0.026955732502845758,OS
Karnofsky Score,0.025647948760334344,OS
Donor Type,0.024950833360528137,OS
Immunophenotype,0.022558042282930072,OS
GVHD Prophylaxis,0.015495461016109267,OS
Graft Type,0.015366133502916768,OS
Gender,0.014061048971350078,OS
Age at HCT,0.19924992418876913,NRM
Donor Age,0.13707518851615755,NRM
Donor Type,0.1235967527881894,NRM
Disease Status,0.11575818939148956,NRM
HCT-CI,0.07867225822327027,NRM
Time Dx to HCT,0.06543641212808231,NRM
Donor/Recipient Sex Match,0.06114385433598954,NRM
Year of HCT,0.055854376069610835,NRM
Race/Ethnicity,0.05308773751072806,NRM
Donor/Recipient CMV,0.05159950038916906,NRM
In Vivo T-cell Depletion (Yes),0.04503437261214596,NRM
Gender,0.03828184279515569,NRM
Cytogenetic Score,0.030794460967743898,NRM
Karnofsky Score,0.028629880103661735,NRM
Conditioning Regimen,0.02582812964614662,NRM
Ph+/BCR-ABL1,0.023725087329006293,NRM
GVHD Prophylaxis,0.02333623534410479,NRM
Graft Type,0.013195924818774268,NRM
Immunophenotype,0.008184440708874686,NRM
Disease Status,0.14490198535486207,Relapse
Age at HCT,0.05372325470251903,Relapse
Year of HCT,0.049237606469833016,Relapse
Donor Age,0.04003903510110761,Relapse
Time Dx to HCT,0.0304879416477884,Relapse
Karnofsky Score,0.029714786347661063,Relapse
In Vivo T-cell Depletion (Yes),0.0279394956034794,Relapse
Donor/Recipient CMV,0.027850030408973984,Relapse
Race/Ethnicity,0.021814938304599324,Relapse
HCT-CI,0.017395528874210413,Relapse
Ph+/BCR-ABL1,0.01732999445230905,Relapse
Conditioning Regimen,0.012202724535740811,Relapse
Donor Type,0.012102696635300936,Relapse
Gender,0.01084299473378395,Relapse
Immunophenotype,0.010069077414430616,Relapse
Graft Type,0.009368572919859363,Relapse
Cytogenetic Score,0.006854742712043624,Relapse
Donor/Recipient Sex Match,0.0063436681757648335,Relapse
GVHD Prophylaxis,0.005504185131465352,Relapse
In Vivo T-cell Depletion (Yes),0.05493016967894407,cGVHD
Age at HCT,0.051611118607756745,cGVHD
Donor Age,0.04547412521764217,cGVHD
Disease Status,0.04245739512872298,cGVHD
Graft Type,0.0350761835398875,cGVHD
Year of HCT,0.03089341288189921,cGVHD
Donor Type,0.02901729396716012,cGVHD
HCT-CI,0.025519992337462334,cGVHD
Donor/Recipient CMV,0.02409142652177751,cGVHD
Race/Ethnicity,0.02403352558254417,cGVHD
Ph+/BCR-ABL1,0.022424689335676293,cGVHD
GVHD Prophylaxis,0.022397635100402772,cGVHD
Cytogenetic Score,0.021067070012827347,cGVHD
Time Dx to HCT,0.02085671809999936,cGVHD
Conditioning Regimen,0.02069663941965256,cGVHD
Donor/Recipient Sex Match,0.017820131568882774,cGVHD
Karnofsky Score,0.01633486766280137,cGVHD
Gender,0.01536975053683315,cGVHD
Immunophenotype,0.00823233005179358,cGVHD
